                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.73071,                 1.2923,                 1.3122,                 0.6167,                0.69311,                0.70545,                0.61836,                 0.5038,                0.91704,                 1.1495,                0.00505,                0.00505,                0.00505
                     53,                0.72313,                 1.2806,                 1.3095,                0.61772,                0.69941,                0.70906,                0.62202,                0.50258,                0.90902,                  1.148,               0.004951,               0.004951,               0.004951
                     54,                0.72527,                 1.2783,                 1.3089,                0.62025,                0.70434,                0.71285,                0.62569,                0.50141,                0.90134,                 1.1466,               0.004852,               0.004852,               0.004852
                     55,                 0.7222,                 1.2598,                 1.3048,                0.62345,                0.70807,                0.71624,                0.62895,                0.50009,                0.89385,                 1.1452,               0.004753,               0.004753,               0.004753
                     56,                0.71755,                 1.2446,                 1.3041,                0.62817,                0.71196,                0.72009,                0.63288,                 0.4988,                 0.8861,                 1.1437,               0.004654,               0.004654,               0.004654
                     57,                0.71492,                 1.2315,                 1.2994,                0.63444,                0.71422,                0.72392,                0.63649,                0.49757,                0.87815,                 1.1422,               0.004555,               0.004555,               0.004555
                     58,                0.71738,                 1.2235,                 1.2986,                0.63737,                0.71965,                0.72772,                0.64035,                0.49632,                0.87025,                 1.1407,               0.004456,               0.004456,               0.004456
                     59,                0.71145,                 1.2101,                 1.2966,                0.63996,                0.72328,                0.73148,                0.64403,                  0.495,                0.86228,                 1.1391,               0.004357,               0.004357,               0.004357
                     60,                0.70727,                  1.204,                 1.2952,                0.64493,                0.72631,                 0.7354,                  0.648,                0.49366,                0.85436,                 1.1374,               0.004258,               0.004258,               0.004258
                     61,                0.70779,                 1.1856,                 1.2905,                0.65091,                0.72907,                0.73951,                0.65223,                0.49234,                0.84601,                 1.1357,               0.004159,               0.004159,               0.004159
                     62,                0.70058,                 1.1743,                 1.2861,                0.65519,                0.73437,                0.74349,                0.65607,                0.49097,                0.83755,                  1.134,                0.00406,                0.00406,                0.00406
                     63,                0.70069,                 1.1744,                 1.2859,                0.66258,                0.73589,                0.74746,                0.66018,                0.48956,                0.82914,                 1.1323,               0.003961,               0.003961,               0.003961
                     64,                 0.6975,                 1.1623,                 1.2823,                 0.6648,                0.74005,                0.75166,                0.66424,                0.48814,                0.82051,                 1.1305,               0.003862,               0.003862,               0.003862
                     65,                0.69507,                  1.146,                 1.2817,                 0.6701,                0.74193,                0.75573,                0.66832,                0.48672,                0.81194,                 1.1289,               0.003763,               0.003763,               0.003763
